,Open,High,Low,Close,Weighted_Price
2020-09-14,10334.916915310556,10515.583941753308,10163.349449077174,10278.371338823676,10279.543706917033
2020-09-15,10279.30315752231,10489.709502350122,9973.169028322749,10276.718611544795,10251.053502035491
2020-09-16,10278.139574475364,10506.955887720396,10028.290760200032,10275.07923064997,10265.398575649258
2020-09-17,10273.086475809074,10490.299165332795,9971.26829276619,10296.346094161923,10282.755707059006
2020-09-18,10295.641196098017,10500.662914128192,9976.33099864677,10259.359997536596,10260.90361255936
2020-09-19,10259.392705132,10464.941759168834,9959.97466863246,10225.299949208098,10215.917290427891
2020-09-20,10226.198152168354,10475.007877626307,9896.061115491264,10226.291756896782,10211.856014066692
2020-09-21,10226.938836756359,10470.542353940666,9945.759202556832,10250.340187280204,10229.831383256915
2020-09-22,10250.817835979611,10482.953886180003,9987.255003747805,10260.222419591495,10247.98475171542
2020-09-23,10260.546489982371,10489.832014871083,10007.669362381217,10255.375580891428,10250.062252454763
2020-09-24,10255.73136123444,10487.49237145842,10003.16980767297,10248.759208038162,10240.336896729443
2020-09-25,10248.954061085746,10485.594287140408,9972.042026597046,10250.721375746682,10233.769073600859
2020-09-26,10250.862635700341,10493.56372969606,9964.842489025827,10249.366750726467,10236.330651063214
2020-09-27,10249.570878371122,10502.089086594464,9967.482122236916,10261.642970745479,10241.652126135079
2020-09-28,10261.90796622322,10509.412274052633,9973.180011623013,10258.267794226096,10248.065057494612
2020-09-29,10258.476501426394,10503.5590109837,9976.376835195082,10257.456964715026,10243.293232308177
2020-09-30,10257.789689167346,10505.74483779224,9968.330748826636,10254.605612809984,10241.782006235104
2020-10-01,10254.87360745186,10507.775351356353,9963.798193827932,10260.00695553388,10242.794970654735
2020-10-02,10260.251725746386,10515.460492873459,9967.72301637775,10265.064471886028,10249.129824539525
2020-10-03,10265.287854140179,10520.919912633395,9969.067550651325,10267.592771074054,10252.270292975789
2020-10-04,10267.831991004705,10525.4008275986,9967.844261971712,10268.48044498739,10253.901248241546
2020-10-05,10268.682352626938,10527.64364293302,9967.293715076637,10270.523757821504,10254.603783260114
2020-10-06,10270.73780445369,10530.754369456914,9966.16637557965,10271.652779152946,10255.979269534912
2020-10-07,10271.869826669637,10533.920703932174,9966.592437115372,10275.299428217191,10258.627225760461
2020-10-08,10275.530184957115,10539.116571621826,9966.237476840808,10278.204373099616,10262.125211494626
2020-10-09,10278.414046281343,10542.658261869763,9969.985477994238,10281.168514567007,10264.794582383834
2020-10-10,10281.386895693828,10546.616181305566,9969.85626377363,10283.10026106906,10266.993051636282
2020-10-11,10283.311164130704,10550.106491546061,9970.735803986932,10286.157786279335,10269.267672148682
2020-10-12,10286.366567046112,10554.64033181235,9971.612192210347,10289.565453417408,10272.589647742734
2020-10-13,10289.76709057721,10558.853754372865,9974.153864048982,10293.1317641311,10275.986799207689
2020-10-14,10293.338412345998,10563.206948349432,9976.027418343208,10296.07213795258,10279.204177659614
2020-10-15,10296.27694464641,10567.142244016224,9977.670516534323,10299.409139549784,10282.173247811064
2020-10-16,10299.611702327333,10571.341525065765,9979.636639677343,10302.58710150268,10285.3667551725
2020-10-17,10302.78752925107,10575.475589974283,9981.92938867118,10306.257946725058,10288.676602561325
2020-10-18,10306.459505452089,10580.012995893123,9984.122519051805,10309.809936796197,10292.309519430064
2020-10-19,10310.007730566373,10584.366682849552,9986.756390864346,10313.605998673524,10295.902119092254
2020-10-20,10313.803501215672,10588.806937412292,9989.367763715323,10317.131462759326,10299.502893788882
2020-10-21,10317.32686033552,10593.045864264768,9991.98466491902,10320.83204511256,10303.001599530628
2020-10-22,10321.028408065957,10597.516899896209,9994.56653799532,10324.603292646723,10306.713599520192
2020-10-23,10324.796943672689,10601.964352505132,9997.504518412667,10328.562270151364,10310.52420672675
2020-10-24,10328.755983893552,10606.523870632138,10000.549804333872,10332.444459404698,10314.414212682233
2020-10-25,10332.637003502325,10610.995302792035,10003.648039143058,10336.395447448816,10318.265680823082
2020-10-26,10336.587794201308,10615.53283683533,10006.707970094147,10340.3403724936,10322.16786856573
2020-10-27,10340.531090906781,10620.040617655317,10009.952415698846,10344.396833248917,10326.114496483768
2020-10-28,10344.587419904694,10624.640414790638,10013.209715947336,10348.463379024195,10330.142845004548
2020-10-29,10348.653032277673,10629.228975359714,10016.608276560131,10352.612773425031,10334.210960630966
2020-10-30,10352.802059807576,10633.86340799341,10020.032667615154,10356.748411050352,10338.31977750043
2020-10-31,10356.936760458053,10638.462474887741,10023.560249162581,10360.931025854168,10342.431648009375
2020-11-01,10361.119215768416,10643.105846122215,10027.080995315006,10365.126949171688,10346.587176507956
2020-11-02,10365.314416910645,10647.751923244386,10030.694228632205,10369.392066697208,10350.782145921967
2020-11-03,10369.579160668532,10652.439159966643,10034.365291417134,10373.667973865468,10355.025339489355
2020-11-04,10373.854489135176,10657.11871674827,10038.103021101257,10377.978051787875,10359.283969369513
2020-11-05,10378.164317389712,10661.82054398213,10041.86176703973,10382.295730479385,10363.568902539275
2020-11-06,10382.481469670309,10666.51995593403,10045.67452195547,10386.65284315704,10367.874030655286
2020-11-07,10386.838287841298,10671.243895993975,10049.52626668743,10391.024586910182,10372.21241207052
2020-11-08,10391.2096261117,10675.971685902927,10053.428366998969,10395.42953906969,10376.573105646174
2020-11-09,10395.614351802607,10680.719050505051,10057.362561096123,10399.846139215868,10380.960092115218
2020-11-10,10400.030564952229,10685.465728068051,10061.34174462647,10404.286477166454,10385.362121217631
2020-11-11,10404.470691887294,10690.226043413035,10065.346146701746,10408.737994025641,10389.784344808832
2020-11-12,10408.921909389339,10694.989960184896,10069.386201582063,10413.213605486031,10394.223872940363
2020-11-13,10413.397324126941,10699.768275256753,10073.454803086852,10417.703275360293,10398.685343774849
2020-11-14,10417.886725655144,10704.550187944966,10077.559799806493,10422.2111763749,10403.162201872423
2020-11-15,10422.39446265148,10709.341659233238,10081.687410308594,10426.72921718154,10407.654760734375
2020-11-16,10426.912290748345,10714.13602854407,10085.842657193529,10431.26351389857,10412.160190933428
2020-11-17,10431.446433989096,10718.939167393033,10090.01996819035,10435.808920073316,10416.680858702903
2020-11-18,10435.991659003064,10723.74626188696,10094.223928169233,10440.368978003957,10421.214488934529
2020-11-19,10440.551592565977,10728.561071006041,10098.447785384902,10444.938863974214,10425.761620303374
2020-11-20,10445.121329966698,10733.379151624598,10102.694594166074,10449.520888894273,10430.319671997791
2020-11-21,10449.703244635946,10738.203011489237,10106.959404874144,10454.111437244968,10434.888910827833
2020-11-22,10454.293672925654,10743.029915495688,10111.243672222994,10458.712739456887,10439.467895827647
2020-11-23,10458.89488710247,10747.862247064624,10115.54425124193,10463.322456617412,10444.057402492826
2020-11-24,10463.504505934978,10752.697719633876,10119.862812978052,10467.941687274171,10448.656046931612
2020-11-25,10468.123664169634,10757.53754173901,10124.196479846556,10472.568020583374,10453.263643287444
2020-11-26,10472.749922289902,10762.379894208903,10128.545282942938,10477.202375285357,10457.878931614998
2020-11-27,10477.384221162216,10767.225902361775,10132.907268800767,10481.843300782957,10462.50209950857
2020-11-28,10482.025088121718,10772.074342245252,10137.28299756861,10486.491442156856,10467.132372530574
2020-11-29,10486.673188259556,10776.925984961823,10141.670773046295,10491.145470390446,10471.769704706881
2020-11-30,10491.327175321865,10781.779767253294,10146.070629449483,10495.805700558953,10476.41328061681
2020-12-01,10495.987377312582,10786.63614184286,10150.481176477646,10500.471084842287,10481.062930357437
2020-12-02,10500.652734236932,10791.494308225034,10154.902365607883,10505.141840578728,10485.71802839526
2020-12-03,10505.323474245792,10796.354678640615,10159.333017988614,10509.817228482874,10490.378493010003
2020-12-04,10509.998847913545,10801.216675543144,10163.77312042372,10514.497368275735,10495.043856979559
2020-12-05,10514.678982499292,10806.080515903795,10168.221768268977,10519.181569432352,10499.71393290939
2020-12-06,10519.363180787297,10810.945686994453,10172.6787434155,10523.869823841902,10504.388242140825
2020-12-07,10524.051440166366,10815.81233906215,10177.143200955701,10528.561624637428,10509.066612493636
2020-12-08,10528.743248216686,10820.680111457596,10181.614984397984,10533.256972128685,10513.748705185855
2020-12-09,10533.43860940076,10825.549107676456,10186.093459746042,10537.95543546472,10518.434364255894
2020-12-10,10538.137089113407,10830.41902655187,10190.578403155607,10542.656949526827,10523.123269682099
2020-12-11,10542.838625055207,10835.28990832572,10195.069245026629,10547.36114885132,10527.81524503481
2020-12-12,10547.54284874375,10840.16150398991,10199.565759542265,10552.067955335528,10532.51001261639
2020-12-13,10552.249684330069,10845.033836464596,10204.067467121129,10556.777074930777,10537.20741862602
2020-12-14,10556.958835556297,10849.906718359056,10208.574143541924,10561.48842861504,10541.907237196132
2020-12-15,10561.670224895935,10854.780151319099,10213.08539619654,10566.201763634046,10546.609322879052
2020-12-16,10566.383597928738,10859.653970571357,10217.601005914008,10570.916979874122,10551.31346444391
2020-12-17,10571.098855728076,10864.528158277788,10222.120613178382,10575.63386183834,10556.019518084966
2020-12-18,10575.815781490286,10869.4025838864,10226.64400548642,10580.352319327965,10560.727306601442
2020-12-19,10580.534285816057,10874.277227149596,10231.170886532971,10585.072172642802,10565.436705361011
2020-12-20,10585.254188051975,10879.151979382035,10235.701062310218,10589.793328397529,10570.14755790652
2020-12-21,10589.975395418336,10884.02681165687,10240.23426617323,10594.515628212544,10574.859744043491
2020-12-22,10594.697748764602,10888.901630407214,10244.770314160654,10599.238982200051,10579.573123602424
2020-12-23,10599.421158623287,10893.776404189946,10249.308974129992,10603.963254820843,10584.287587465213
2020-12-24,10604.145488891803,10898.651055992803,10253.850076769952,10608.688362703635,10589.003014185892
2020-12-25,10608.870656490255,10903.52555480766,10258.393419030253,10613.414188588322,10593.719305544502
2020-12-26,10613.596543705502,10908.399834042604,10262.938847015055,10618.140652713133,10598.436352825716
2020-12-27,10618.323070983219,10913.273860954107,10267.486180221842,10622.867650929624,10603.154064470322
2020-12-28,10623.050133833265,10918.14757820695,10272.035275015252,10627.595109840917,10607.872343658557
2020-12-29,10627.77765898848,10923.020955095848,10276.585972568795,10632.322939422327,10612.591108706783
2020-12-30,10632.5055561528,10927.8939426188,10281.13814401484,10637.051072059923,10617.310274239215
2020-12-31,10637.233757802944,10932.766511126862,10285.691648515724,10641.779427603,10622.029765656882
